record_uid,record_id,source_split,parquet_file,shard_row_index,audio_path,audio_available,duration_seconds,source_label,speaker_id,recording_group_id,group_id,group_source,group_confidence,text_bahnar,text_vi,text_en,pair_key,split,label_type,processed_duration_seconds
c860205cb15c227bf84b6502306bb31921bf6a74,-bSm9QuB0DI_22,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0049.parquet,1832,-bSm9QuB0DI_22.flac,True,18.940000534057617,yt_17,yt_17,-bsm9qub0di,recording:-bsm9qub0di,record_id_prefix,medium,ônh năm bok a treo dăng để truh mình hectang ka teh bơ̆jăng lư̆m kiao nih kơ bok paka yên anh lư̆m ka trong bơ̆n anh để jêl măng số jên được găng từ gươm mình ka ônh năm bok dăng để truh mình răng tăng lak gêm số jên au măn nhang ga lơ chăm ka trường kia kơ bok a treo trông đang ai tam đây chả teh và kơ bơ̆jăng bơ̆jêng năng bay tanap ta,"Trong đó tập trung chủ yếu tại phường Thắng Lợi với 58 hộ, phường Trường Chinh 14 hộ, còn lại một vài hộ ở các xã, phường khác.","In which it is concentrated mainly in Thang Loi ward with 58 households, Truong Chinh ward with 14 households, and the rest are a few households in other communes and wards.",9cee3072a3a41fb451a6b3023b568767c4d05e16,train,pseudo_label,18.944
9ef92024217fc462f37f6688729ed81fd2bcf662,-DF7qHwzmlw_2,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,1875,-DF7qHwzmlw_2.flac,True,20.61000061035156,yt_55,yt_55,-df7qhwzmlw,recording:-df7qhwzmlw,record_id_prefix,medium,lơ thôn plê bơ̆t trêng ada salam đi adrich kon kông bơ̆t nhchar điện biên tơdrong băt hluh uy pơnŏ rơdu tơdrong troi thương gah jơhngơm bran đi wê wêr gô tơgo păng băt hluh kit găl đơ̆ng wê hlăng jơhngơm bran trơnêh wă tŏk jung jehnei tơdrong troi thương jehnei khŭl để ani chang pơgăng hlăng kit,"Ở nhiều thôn, bản vùng cao, khu vực biên giới, nơi có đồng bào dân tộc thiểu số sinh sống ở tỉnh Điện Biên, trình độ nhận thức của người dân còn hạn chế, nên khi các hoạt động truyền thông về sức khỏe sinh sản được duy trì thực hiện, sẽ góp phần nâng cao kiến thức cho phụ nữ về tầm quan trọng của việc chăm sóc sức khỏe sinh sản. Để nâng cao hiệu quả công tác truyền thông, chất lượng đội ngũ cũng được Ngành Y tế coi trọng.","In many highland villages, hamlets, and border areas where ethnic minorities live in Dien Bien province, the level of awareness of the people is still limited, so when communication activities about reproductive health are maintained, it will contribute to improving knowledge for women about the importance of reproductive health care. To improve the effectiveness of communication work, the quality of the staff is also valued by the Health sector.",d3bf7c67b187c5d16257bcf085d49b47e7b27bfb,train,pseudo_label,20.608
55328f2c492a5464bf20860ab483d9250b4ff6d3,-dUG4xbntmA_24,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0046.parquet,748,-dUG4xbntmA_24.flac,True,9.220000267028809,yt_49,yt_49,-dug4xbntma,recording:-dug4xbntma,record_id_prefix,medium,ôm 'bar pă jơ̆ng adrol lin tơ hmam pơdŏng lôch đêh hmêt pơ'lơ̆ng tơdrong jang thoi kơ hăt hot lơ̆m kơ măng hơlơ̆p kơ sơđơ̆ng kơ bri jŭm dăr,Các phương án cấp cứu đã được chuẩn bị sẵn sàng. Công việc cứ thế nối tiếp trong đêm. Trái ngược lại với sự tĩnh lặng của cả khu rừng xung quanh.,Emergency plans have been prepared. The work continues through the night. In contrast to the silence of the entire surrounding forest.,9feebc10a27710eea4151f3e5ab7b72542d3471b,train,pseudo_label,9.216
d46d70f5d7d182ace87fc572ae19f5679ebd7c3a,-gsmy1n5axc_2,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,1908,-gsmy1n5axc_2.flac,True,12.829999923706056,yt_55,yt_55,-gsmy1n5axc,recording:-gsmy1n5axc,record_id_prefix,medium,kichât hnam ruông wăi yui yok lâm play bơ̆t hop kăm roi tơ buôh kah trong kơlong nghi quyết đường đăng lây hop kăm bơ̆t hnam ruông autolki tam đi hnam ruông lây hnam nâu nó hnam play pla hu pkăm lâm play,"Mục đích của nhà Roong là phục vụ trong làng và sử dụng để họp hành, khi làng có hội và đây cũng là nơi để thông báo về chủ trương, đường lối, Nghị quyết của Đảng. Trước đây, chưa có nhà Roong thì ngôi nhà này là nhà cộng đồng để họp dân trong làng.","The purpose of the Roong house is to serve the village and be used for meetings, when the village has festivals, and this is also the place to announce the guidelines, policies, and Resolutions of the Party. Previously, when there was no Roong house, this house was the community house for village meetings.",5c988c56418d2571dede80cf59ffaf5405238477,train,pseudo_label,12.832
00a61022a974304413c1bde5c502df841d3555a9,-I4IZt7Tw6Q_1,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,1880,-I4IZt7Tw6Q_1.flac,True,15.359999656677246,yt_55,yt_55,-i4izt7tw6q,recording:-i4izt7tw6q,record_id_prefix,medium,nghĩ kuyên kơ jơ̆t akăm atŏk kiak kơ choh jang tơmam trăm ju yŏk khoa hao kông nghệ tŏk người kơ ja tơ tun pơjing păng atŏk dơn anih văn hoa sao hôi tŏk yung chơna anih pơngay choh jang bây bêr atŏ nhưng sao hôi kiak kơ tơ jur dơnuh al kơ jap,"Nghị quyết xác định: Tập trung phát triển nông nghiệp hàng hóa, ứng dụng khoa học công nghệ, nâng cao giá trị gia tăng. Đẩy mạnh xây dựng nông thôn mới, phát triển hạ tầng, mở rộng dịch vụ, văn hóa, xã hội. Nâng cao đời sống của nông dân, bảo đảm công bằng xã hội, giảm nghèo bền vững.","The Resolution determines: Focus on developing commodity agriculture, applying science and technology, and increasing added value. Promote the construction of new rural areas, develop infrastructure, and expand services, culture, and society. Improve the lives of farmers, ensure social equity, and reduce poverty sustainably.",957a3dc4275483435d3f1435db93d526d829e09b,train,pseudo_label,15.36
473b9ade4e9ec80f6099490aa6f43410e0f2074d,-Om35O2rapc_10,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,1897,-Om35O2rapc_10.flac,True,24.510000228881836,yt_55,yt_55,-om35o2rapc,recording:-om35o2rapc,record_id_prefix,medium,hloi đây pơmâu đồng trung hơt thao tơ hnap ưh kơ bô ôh mbu athây hơngơi tăng ê pơtră-đa ưh mă tơ trŏng nâu đương nhŏng nhŏng athây inh rŏng inh ưh kơ rŏng hư thi ôh nâu tơ pă ưh kơ inh nhŏng pơngai pơcheh đon 'nau păng inh pơrăm tăng ê ưh pơm kư hơlê tơ pă ntôm yơi chơi nâng inh pơm chăng apơi pơm pơdrŏng,"Anh đã bảo nuôi nấm đông trùng hạ thảo khó lắm, không dễ đâu. Ai bảo em chủ quan. Giờ sáng mắt chưa? Đây là lời của anh. Anh bảo em nuôi nấm đông trùng hạ thảo, không tự dưng em nuôi mấy loại nấm đó. Không chơi kiểu đó lối thế đâu. Anh là người đưa ra ý kiến, còn em là người thực hiện. Bây giờ không làm được, em đổ lỗi cho anh hả? Bao nhiêu tiền của em đổ vào đây, ước mơ làm giàu của em, lấy tiền cưới vợ, bây giờ em không còn gì nữa.","I told you that raising cordyceps mushrooms is very difficult, it's not easy. Who told you to be subjective. Are your eyes open now? This is my word. I told you to raise cordyceps mushrooms, I didn't just raise those types of mushrooms for no reason. Don't play that kind of game. I am the one who gives the opinion, and you are the one who executes. Now that you can't do it, are you blaming me? How much of my money poured into this, my dream of getting rich, taking money to marry a wife, now I have nothing left.",227c690b39fea9c3fe2f97929e2d1f90ac7fd574,train,pseudo_label,24.512
c15d98cee5a3e598e132d290388860acf5190588,-qXmCqz-rPw_17,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,1968,-qXmCqz-rPw_17.flac,True,22.979999542236328,yt_55,yt_55,-qxmcqz-rpw,recording:-qxmcqz-rpw,record_id_prefix,medium,kiơ̆ kơ jơ̆t đơ̆ng pơgơr tơ ring păng khul vei lăng kơ jơ̆ bơ̆t kơ jơ̆ phiên bao lak đây lót kơ phiên jơ̆ nay kiơ̆ tơ drong tĕch tơ mam trăm kơ jơ̆ tay tơ âu đây tơ pli sô tăl tih păng tơ mam trăm đơ̆ng bơhngay tĕch mơ tro hơbo păng sum kro păng rim tơ mam trăm kơ pô rơm ho nhŭng,"Theo đánh giá của lãnh đạo địa phương và Ban quản lý chợ, sức mua bán của phiên chợ Bảo Lạc gấp đôi với các phiên chợ khác. Đây là nơi trung chuyển số lượng lớn các mặt hàng của các lái buôn, như: ngô, bún khô, hà thủ ô, trâu, bò, lợn.","According to the assessment of local leaders and the Market Management Board, the purchasing power of the Bao Lac market session is double that of other market sessions. This is a transit point for a large quantity of goods for merchants, such as: corn, dried vermicelli, fleeceflower root, buffaloes, cows, and pigs.",74440c1361a042c41ca682f48ebe27b46457649c,train,pseudo_label,22.976
83ffe7d5e5178d34c7e5a47a1d1de73f01f4ebe7,01hd5w0P5j8_19,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0034.parquet,410,01hd5w0P5j8_19.flac,True,12.989999771118164,yt_53,yt_53,01hd5w0p5j8,recording:01hd5w0p5j8,record_id_prefix,medium,rim kơ chuyên gia không lươi để rơi ăn bắt chương nhật aris rim kơ bơng ngài e thơ hơt thoi mã không lươi để bơm bơm răm trung ga kơ so lươi đường bar chiết trung đăm chiết hơi thoi bơ̆r ô lươi để bơm bơm răm trung đường hợt là,"Các chuyên gia cho biết, nếu sống cùng một người hút thuốc lá thường xuyên sẽ tăng nguy cơ ung thư phổi từ 20%-30%. Hút thuốc lá thụ động tác hại tương đương như hút thuốc lá chủ động.",Experts say that living with a regular smoker increases the risk of lung cancer by 20%-30%. Passive smoking has harmful effects equivalent to active smoking.,7283ce10eaf855467b1355b42e7984720656638d,train,pseudo_label,12.992
22ac8495ee2d4e5806e0f3d4c520fa044be699d6,03D9bqP7gf0_0,train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0024.parquet,1410,03D9bqP7gf0_0.flac,True,11.520000457763672,yt_55,yt_55,03d9bqp7gf0,recording:03d9bqp7gf0,record_id_prefix,medium,lơ̆m tơ trong roi jai lai sơ̆ păng tăng i khŭl pơm phim nhôn truh tơ̆ trong băt chi đăm wih tơ̆ tơ rêng tŏ păng ăng krŏng pa wă pơnhiên lăng rim tơ plêh nau đơ̆ng nara đi tơ nâu mong đap yang lah,"Trong hành trình thực hiện seri ký sự Gia Lai xưa và nay, đoàn làm phim chúng tôi tiếp tục xuôi Quốc lộ 25 về với vùng “chảo lúa” Krông Pa để tìm hiểu việc hồi sinh vùng đất khát từ khi có công trình Thủy lợi Ia Mlah.","In the journey of making the series of reports ""Gia Lai past and present"", our film crew continues to go down National Highway 25 to the ""rice bowl"" region of Krong Pa to learn about the revival of the thirsty land since the Ia Mlah Irrigation project existed.",a8bc970d6fc80f7d12e6eacb9131c5c193136cf5,train,pseudo_label,11.52
817aa0394ce70be16b152314e2dbb4df6d0b413d,"06_-_[TIẾNG_BA_NA]_ĐOÀN_KẾT_NHÂN_DÂN,_XÂY_DỰNG_NẾP_SỐNG_Ở_THÔN_KLOT-POK_｜_VTV5_8",train,https://huggingface.co/datasets/cuong06/Bahnar_Vietnamese/resolve/refs%2Fconvert%2Fparquet/default/train/0011.parquet,429,"06_-_[TIẾNG_BA_NA]_ĐOÀN_KẾT_NHÂN_DÂN,_XÂY_DỰNG_NẾP_SỐNG_Ở_THÔN_KLOT-POK_｜_VTV5_8.flac",True,22.59000015258789,yt_53,yt_53,"06_-_[tiếng_ba_na]_đoàn_kết_nhân_dân,_xây_dựng_nếp_sống_ở_thôn_klot-pok_｜_vtv5","recording:06_-_[tiếng_ba_na]_đoàn_kết_nhân_dân,_xây_dựng_nếp_sống_ở_thôn_klot-pok_｜_vtv5",record_id_prefix,medium,sơ đừng lót bơ tên gơ sơ năm pơm chang rim năr rim chân nay đây choa yŏc lươm trong pơm chang hơi toy pơ ching pơli pơla nao đây pơm chang bơ̆rê thun tập lít sơ lít nao bang pơm hnam tih cánh chắp lưng đây dur var patam pơ cao long chớt trong bê tong pơm sát uynh sơ trích thực răng hơn tát hnam cham pơm lê đây rơgó lưng meh pơm ma nó keh chơt hiếc,"Những thành quả từ việc chung sức xây dựng nông thôn mới đã làm cho bộ mặt của thôn khang trang với nhà cửa kiên cố, tường rào cổng ngõ đều trồng hoa, cây xanh; đường bê tông mở rộng, diện thắp sáng, môi trường sống sạch sẽ phải nói là rất đáng mừng.","The results from joining forces to build new rural areas have made the face of the village spacious with solid houses, fences and gates all planted with flowers and green trees; concrete roads expanded, lighting areas, clean living environment must be said to be very encouraging.",70fb52e6bc88db67f2ea48514720136f5b2d0997,train,pseudo_label,22.592
